운영기관,충전소,충전기ID,충전기타입,시설구분(대),시설구분(소),지역,시군구,주소,이용가능시간,이용자 제한,충전용량,편의제공,비고
서울시,신도림역 공영주차장 ,2,DC콤보,공공시설,공공기관,서울특별시,구로구 ,서울특별시 구로구 새말로 111 구로미래도서관 주차장 ,24시간 이용가능,,급속(50kW단독),N,
서울시,신사1동 공동주차장 ,1,DC콤보,공공시설,지자체시설,서울특별시,은평구 ,서울특별시 은평구 신사동 23-16 ,"주중 08:00~19:00, 주말 09:00~18:00",,급속(100kW단독),N,
서울시,신사1동 공동주차장 ,2,DC콤보,공공시설,지자체시설,서울특별시,은평구 ,서울특별시 은평구 신사동 23-16 ,"주중 08:00~19:00, 주말 09:00~18:00",,급속(100kW단독),N,
서울시,신월5동 복개 노상공영주차장,1,DC콤보,주차시설,공영주차장,서울특별시,양천구 ,서울특별시 양천구 남부순환로 331 메디힐병원 뒤 요금정산소 인근,24시간 이용가능,,급속(50kW단독),N,
서울시,신정4동길 노상공영주차장,1,DC콤보,주차시설,공영주차장,서울특별시,양천구 ,서울특별시 양천구 신정중앙로 35 쌍용자동차 앞,24시간 이용가능,,급속(50kW단독),N,
서울시,신정4동길 노상공영주차장,2,DC콤보,주차시설,공영주차장,서울특별시,양천구 ,서울특별시 양천구 신정중앙로 35 쌍용자동차 앞,24시간 이용가능,,급속(50kW단독),N,
서울시,신창동 공영주차장,1,DC콤보,주차시설,공영주차장,서울특별시,용산구 ,서울특별시 용산구 원효로35길 53 신창동 공영주차장,24시간 이용가능,,급속(100kW단독),N,
서울시,아현2구역 공영주차장,1,DC콤보,공공시설,공공기관,서울특별시,마포구 ,서울특별시 마포구 신촌로28길 29 ,24시간 이용가능,,급속(50kW단독),N,
서울시,아현2구역 공영주차장,2,DC콤보,공공시설,공공기관,서울특별시,마포구 ,서울특별시 마포구 신촌로28길 29 ,24시간 이용가능,,급속(50kW단독),N,
서울시,아현2구역 공영주차장,3,DC콤보,공공시설,공공기관,서울특별시,마포구 ,서울특별시 마포구 신촌로28길 29 ,24시간 이용가능,,급속(50kW단독),N,
서울시,아현2구역 공영주차장,4,DC콤보,공공시설,공공기관,서울특별시,마포구 ,서울특별시 마포구 신촌로28길 29 ,24시간 이용가능,,급속(50kW단독),N,
서울시,아현2구역 공영주차장,5,DC콤보,공공시설,공공기관,서울특별시,마포구 ,서울특별시 마포구 신촌로28길 29 ,24시간 이용가능,,급속(50kW단독),N,
서울시,아현2구역 공영주차장,6,DC콤보,공공시설,공공기관,서울특별시,마포구 ,서울특별시 마포구 신촌로28길 29 ,24시간 이용가능,,급속(50kW단독),N,
